475,Westbourne Park Primary School,2 Marlborough Road,Westbourne Park,5041,-34.969224,138.591941
476,Elizabeth Special School,24 Durrington Road,Elizabeth,5112,-34.710127,138.673359
477,Balaklava Primary School,Wallace Street,Balaklava,5461,-34.151438,138.416488
478,Whyalla Town Primary School,3-9 Walls Street,Whyalla,5600,-33.035531,137.583641
479,Memorial Oval Primary School,Bradford Street,Whyalla,5600,-33.033445,137.568711
482,Williamstown Primary School,15 Margaret Street,Williamstown,5351,-34.667928,138.890491
483,Wilmington Primary School,14 Fifth Street,Wilmington,5485,-32.651173,138.101868
486,Winkie Primary School,Winkie Road,Winkie,5343,-34.290735,140.54478
487,Wirrabara Primary School,East Terrace,Wirrabara,5481,-33.036284,138.273277
495,Woodside Primary School,23 Moffett Street,Woodside,5244,-34.952342,138.879672
497,Woodville Primary School,Evans Street,Woodville South,5011,-34.880569,138.532716
501,Yahl Primary School,10 Lange Road,Yahl,5291,-37.87919,140.831985
506,Barmera Primary School,1 Rumbold Drive,Barmera,5345,-34.25159,140.478058
509,Andamooka Primary School,,Andamooka,5722,-30.44907,137.167451
511,Basket Range Primary School,16 Cramond Road,Basket Range,5138,-34.938262,138.766577
519,Beachport Primary School,Golf Course Road,Beachport,5280,-37.475436,140.009715
524,Belair Primary School,45-83 Main Road,Belair,5052,-35.004748,138.625784
532,Berri Primary School,11 Sultana Street,Berri,5343,-34.279661,140.594112
533,Wynn Vale R-7 School,17-19 Sunnybrook Drive,Wynn Vale,5127,-34.800674,138.687256
536,Aberfoyle Hub R-7 School,29 Jeanette Crescent,Aberfoyle Park,5159,-35.078139,138.595142
537,Parafield Gardens R-7 School,23 Shepherdson Road,Parafield Gardens,5107,-34.785192,138.616383
547,Birdwood Primary School,Shannon Street,Birdwood,5234,-34.821057,138.960319
548,Black Forest Primary School,679 South Road,Black Forest,5035,-34.960471,138.573756
559,Whyalla Special School,Billing Street,Whyalla Playford,5600,-33.032,137.557014
563,Lake Wangary Primary School,Third Street,Wangary,5607,-34.550294,135.479343
565,Blackwood Primary School,4 Seymour Street,Eden Hills,5050,-35.024715,138.607738
570,Prospect North Primary School,30 Stuart Road,Prospect,5082,-34.874397,138.596495
571,Blanchetown Primary School,Godley Street,Blanchetown,5357,-34.35059,139.610574
574,Para Hills High School,90 Beafield Road,Para Hills West,5096,-34.799266,138.650711
583,Marden Senior College,1-37 Marden Road,Marden,5070,-34.891197,138.634517
586,Blyth Primary School,August Street,Blyth,5462,-33.843766,138.490696
592,Nangwarry Primary School,Whitford Crescent,Nangwarry,5277,-37.541463,140.818486
593,Padthaway Primary School,Vogelsang Road,Padthaway,5271,-36.593126,140.496854
596,Highbury Primary School,Cnr Honeysuckle Drive & Payne St,Hope Valley,5090,-34.848154,138.710133
600,Booborowie Primary School,South Terrace,Booborowie,5417,-33.56631,138.759777
605,Millicent North Primary School,Second Street,Millicent,5280,-37.592968,140.343376
625,Whyalla Stuart Campus R-7,Bastyan Crescent,Whyalla Stuart,5608,-33.026989,137.526132
632,Keller Road Primary School,Keller Road,Salisbury East,5109,-34.792341,138.656283
636,Bridgewater Primary School,46 Morella Grove,Bridgewater,5155,-35.004283,138.762749
637,Brighton Primary School,1 Highet Avenue,Brighton,5048,-35.015974,138.526228
638,Wirreanda High School,105 Richards Drive,Morphett Vale,5162,-35.127607,138.533815
640,Hallett Cove School,2-32 Gledsdale Road,Hallett Cove,5158,-35.075965,138.511116
641,Seaford 6-12 School,Lynton Terrace,Seaford,5169,-35.187173,138.482221
644,Yunta Rural School,Railway Terrace,Yunta,5440,-32.579123,139.562252
646,Brompton Primary School,Napier Street,Renown Park,5008,-34.893989,138.581272
647,Linden Park Primary School,14 Hay Road,Linden Park,5065,-34.9478,138.646019
649,Madison Park School,19 Lincoln Avenue,Salisbury East,5109,-34.783863,138.662355
650,Rapid Bay Primary School,Essington Lewis Drive,Rapid Bay,5204,-35.526676,138.193855
651,Parndana Campus,Wedgewood Road,Parndana,5220,-35.786767,137.263093
658,Forbes Primary School,80 Thomas Street,South Plympton,5038,-34.978139,138.557598
660,Enfield Primary School,Clarice Avenue,Enfield,5085,-34.865172,138.603431
664,Salisbury North R-7 School,38 Bagster Road,Salisbury North,5108,-34.753263,138.635426
665,Hillcrest Primary School,Condamine Street,Hillcrest,5086,-34.866383,138.638678
666,Darlington Primary School,9-11 White Crescent,Seacombe Gardens,5047,-35.027204,138.546916
668,Paringa Park Primary School,21 Bowker Street,North Brighton,5048,-35.002543,138.525628
670,Hendon Primary School,Cedar Avenue,Royal Park,5014,-34.878622,138.510533
677,Nicolson Avenue Primary School,Nicolson Avenue,Whyalla Norrie,5608,-33.028888,137.549699
678,Loxton North Primary School,Balfour-Ogilvy Road,Loxton North,5333,-34.413133,140.624328
679,Willsden Primary School,Elizabeth Terrace,Port Augusta,5700,-32.506303,137.780351
685,Risdon Park Primary School,Kingston Road,Port Pirie,5540,-33.203247,138.008071
688,Elizabeth South Primary School,Chive!! Street,Elizabeth South,5112,-34.73111,138.66211
689,Hampstead Primary School,38-56 Muller Road,Greenacres,5086,-34.870813,138.625981
699,Burnside Primary School,11 High Street,Burnside,5066,-34.935601,138.661574
702,Bute Primary School,Third Street,Bute,5560,-33.864926,138.003827
704,Cadell Primary School,414 Cadell Valley Road,Cadell,5321,-34.0565056,139.771731
705,Callington Primary School,North Terrace,Callington,5254,-35.114221,139.038981
714,Challa Gardens Primary School,Humphries Terrace,Kilkenny,5009,-34.877305,138.555678
719,Clare Primary School,137 Main North Road,Clare,5453,-33.840746,138.618052
720,Clarendon Primary School,Potter Road,Clarendon,5157,-35.110275,138.632175
721,Cobdogla Primary School,Dolan Street,Cobdogla,5346,-34.242439,140.406113
723,Colonel Light Gardens Primary School,Windsor Avenue,Colonel Light Gardens,5041,-34.986809,138.59544
724,Compton Primary School,13 Compton Hall Road,Suttontown,5291,-37.801357,140.728606
729,Coomandook Area School,,Coomandook,5261,-35.476023,139.70898
730,Coonalpyn Primary School,4 Coombe Terrace,Coonalpyn,5265,-35.698735,139.852091
731,Coorabie RS-Annexe of Penong PS,,Coorabie,5690,-31.8270052,132.308206
732,Ardrossan Area School,14 Second Street,Ardrossan,5571,-34.423756,137.91592
733,Bordertown Primary School,South Terrace,Bordertown,5268,-36.315105,140.765108
734,Ceduna Area School,6 May Crescent,Ceduna,5690,-32.137676,133.671396
735,Cowell Area School,42 Story Street,Cowell,5602,-33.682729,136.918442
736,Kimba Area School,69 West Terrace,Kimba,5641,-33.135605,136.419417
737,Kingston Community School,46 East Terrace,Kingston SE,5275,-36.836179,139.857605
740,Orroroo Area School,West Terrace,Orroroo,5431,-32.728505,138.612211
741,Port Broughton Area School,12 East Terrace,Port Broughton,5522,-33.604039,137.933111
742,Snowtown Primary School,31 Glen Davidson Drive,Snowtown,5520,-33.783548,138.221653
743,Tumby Bay Area School,West Terrace,Tumby Bay,5605,-34.37575,136.099182
744,Willunga Primary School,247 Main Road,Willunga,5172,-35.269384,138.552628
745,Streaky Bay Area School,109 Wells Street,Streaky Bay,5680,-32.798217,134.201213
746,Woomera Area School,Dewrang Avenue,Woomera,5720,-31.195174,136.826289
747,Cam brai Area School,Main Road,Cam brai,5353,-34.653408,139.280554
748,Leigh Creek Area School,Blackoak Drive,Leigh Creek,5731,-30.592696,138.401257
749,Lucindale Area School,14 Fairview Road,Lucindale,5272,-36.964206,140.370633
750,Meningie Area School,1 North Terrace,Meningie,5264,-35.682635,139.342158
751,Allendale East Area School,Bay Road,Allendale East,5291,-38.002461,140.711361
752,Brinkworth Primary School,Main Street,Brinkworth,5464,-33.687102,138.404569
753,Cleve Area School,Second Street,Cleve,5640,-33.699447,136.497984
754,Cummins Area School,McFarlane Street,Cummins,5631,-34.263297,135.722276
755,Eudunda Area School,2 Reserve Road,Eudunda,5374,-34.181155,139.091271
756,Karoonda Area School,North Terrace,Karoonda,5307,-35.092105,139.894702
757,Keith Area School,Tolmer Terrace,Keith,5267,-36.099661,140.351182
758,Kingscote Campus,5 Centenary Avenue,Kingscote,5223,-35.650387,137.633343
759,Lameroo Regional Community School,1 Bews Terrace,Lameroo,5302,-35.331434,140.522579
760,Loxton Primary School,Pyap Street,Loxton,5333,-34.451324,140.567155
761,Maitland Area School,Junction Road,Maitland,5573,-34.368261,137.673481
762,Oakbank Area School,154 Onkaparinga Valley Road,Oakbank,5243,-34.988726,138.837232
763,Penola Primary School,Riddoch Street,Penola,5277,-37.379147,140.833229
764,Pinnaroo Primary School,Bundey Terrace,Pinnaroo,5304,-35.255862,140.907922
765,Wudinna Area School,Medley Terrace,Wudinna,5652,-33.044573,135.462851
766,Yankalilla Area School,207 Main South Road,Yankalilla,5203,-35.453257,138.333062
767,Yorketown Area School,Stansbury Road,Yorketown,5576,-35.015376,137.615442
768,Adelaide High School,West Terrace,Adelaide,5000,-34.925733,138.586678
769,Balaklava High School,14 Gwy Terrace,Balaklava,5461,-34.1503,138.41511
770,Birdwood High School,Shannon Street,Birdwood,5234,-34.822129,138.957682
771,Booleroo Centre District School,79-81 Stephen Street,Booleroo Centre,5482,-32.877326,138.349525
773,Clare High School,Elliot Street,Clare,5453,-33.822384,138.596522
774,Gawler and District College B-12,Barnet Road,Evanston,5116,-34.619476,138.736184
775,Gladstone High School,Main North Road,Gladstone,5473,-33.275577,138.35211
776,Glossop High School,Old Sturt Highway,Glossop,5344,-34.274792,140.535354
777,Jamestown Community School,Humphris Terrace,Jamestown,5491,-33.204904,138.609566
778,Kadina Memorial School,5 Doswell Terrace,Kadina,5554,-33.95764,137.70896
779,Kapunda High School,West Terrace,Kapunda,5373,-34.332945,138.910495
780,Millicent High School,Mount Burr Road,Millicent,5280,-37.591479,140.359255
781,Minlaton District School,2 North Terrace,Minlaton,5575,-34.765873,137.593581
783,Mount Barker High School,2 Wellington Road,Mount Barker,5251,-35.074991,138.85705
784,Mount Gambier High School,Brownes Road,Mount Gambier,5290,-37.826147,140.765689
785,Murray Bridge High School,Lohmann Street,Murray Bridge,5253,-35.135051,139.285294
786,Naracoorte High School,Stewart Terrace,Naracoorte,5271,-36.948548,140.726873
787,Norwood Morialta High School,505 The Parade,Magill,5072,-34.917934,138.672196
788,Nuriootpa High School,Penrice Road,Nuriootpa,5355,-34.466434,139.000529
789,Peterborough High School,Queen Street,Peterborough,5422,-32.978852,138.836939
790,,3 Stirling Road,Port Augusta,5700,-32.493679,137.768693
,Port Augusta Secondary School,,,,,
791,Port Lincoln High School,Ruskin Road,Port Lincoln,5606,-34.723847,135.853942
792,John Pirie Secondary School,40 Mary Elie Street,Port Pirie,5540,-33.183024,138.010153
793,Quorn Area School,Stokes Road,Quorn,5433,-32.348904,138.036572
794,Renmark High School,Thurk Street,Renmark,5341,-34.172088,140.741263
795,Riverton and District High School,Oxford Terrace,Riverton,5412,-34.156173,138.749643
796,Eastern Fleurieu Strath 7-12 Campus,11 Callington Road,Strathalbyn,5255,-35.258179,138.903269
797,Unley High School,Kitchener Street,Netherby,5062,-34.970162,138.620336
798,Urrbrae Agricultural High School,505 Fullarton Road,Netherby,5062,-34.966994,138.621443
799,Victor Harbor High School,George Main Road,Victor Harbor,5211,-35.556148,138.611226
800,Waikerie High School,24 Blake Road,Waikerie,5330,-34.184584,139.973102
801,Woodville High School,11 Actil Avenue,Woodville,5011,-34.872943,138.540808
803,Brighton Secondary School,305 Brighton Road,North Brighton,5048,-35.003619,138.519676
805,Findon High School,Drummond Avenue,Findon,5023,-34.898332,138.526613
809,Henley High School,Cudmore Terrace,Henley Beach,5022,-34.923383,138.500356
810,Thebarton Senior College,40 Ashley Street,Torrensville,5031,-34.917275,138.562772
814,Le Fevre High School,90 Hart Street,Semaphore South,5019,-34.845622,138.484995
817,Marryatville High School,170 Kensington Road,Marryatville,5068,-34.9291,138.645443
822,Whyalla High School,Broadbent Terrace,Whyalla,5600,-33.038453,137.58087
823,Hamilton Secondary College,815 Marion Road,Mitchell Park,5043,-34.99837,138.560781
825,Elizabeth North Primary School,141 Woodford Road,Elizabeth North,5113,-34.703178,138.673909
842,Cavan Education Centre,1 Jonal Drive,Cavan,5094,-34.821668,138.600663
844,The Grove Education Centre,39 Leslie Street West,Woodville,5011,-34.873425,138.544354
845,Raukkan Aboriginal School,Taplin Street,Raukkan,5259,-35.508878,139.132846
846,Point Pearce Aboriginal School,Parrys Avenue,Point Pearce,5573,-34.415187,137.501269
849,Open Access College,1-37 Marden Road,Marden,5070,-34.89271,138.635942
892,Salisbury High School,14 Farley Grove,Salisbury North,5108,-34.755983,138.640772
893,Seaview High School,78-124 Seacombe Road,Seacombe Heights,5047,-35.030039,138.547313
894,Bordertown High School,South Terrace,Bordertown,5268,-36.313741,140.767724
895,Loxton High School,Bookpurnong Road,Loxton,5333,-34.443732,140.584808
897,Elizabeth Grove Primary School,20 Haynes Street,Elizabeth Grove,5112,-34.73233,138.669527
